Sale_Date,Property_ID,Suburb,Postcode,Sale_Price,Bedrooms,Bathrooms,Parking,Property_Type,Data_Source
2013-07-08,7999,Killara,2071,1700000,4,2,1,house,Uploaded Sydney housing sales dataset
2018-03-27,7200,Killara,2071,2900000,5,3,2,house,Uploaded Sydney housing sales dataset
2015-02-25,7852,Killara,2071,1510000,4,2,3,house,Uploaded Sydney housing sales dataset
2015-06-20,7408,Killara,2071,1940000,4,2,3,house,Uploaded Sydney housing sales dataset
2014-01-24,7484,Killara,2071,1850000,5,4,6,house,Uploaded Sydney housing sales dataset
2014-09-10,7893,Killara,2071,1700000,4,2,1,house,Uploaded Sydney housing sales dataset
2018-02-02,7208,Killara,2071,6350000,5,5,2,house,Uploaded Sydney housing sales dataset
2014-11-27,7859,Killara,2071,2280000,5,3,2,house,Uploaded Sydney housing sales dataset
2014-09-04,7895,Killara,2071,3250000,5,3,3,house,Uploaded Sydney housing sales dataset
2014-03-29,7925,Killara,2071,1465000,3,2,2,house,Uploaded Sydney housing sales dataset
2011-05-03,7557,Killara,2071,1095000,3,2,2,house,Uploaded Sydney housing sales dataset
2008-11-25,7642,Killara,2071,750000,3,1,1,house,Uploaded Sydney housing sales dataset
2016-10-15,7764,Killara,2071,4100000,5,3,2,house,Uploaded Sydney housing sales dataset
2013-03-02,8041,Killara,2071,1550000,4,2,2,house,Uploaded Sydney housing sales dataset
2017-05-13,7245,Killara,2071,5250000,6,5,2,house,Uploaded Sydney housing sales dataset
2017-02-25,7259,Killara,2071,2200000,2,1,1,house,Uploaded Sydney housing sales dataset
2017-04-04,7252,Killara,2071,2850000,4,1,2,house,Uploaded Sydney housing sales dataset
2016-08-31,7400,Killara,2071,1630000,4,3,2,house,Uploaded Sydney housing sales dataset
2008-09-02,7653,Killara,2071,1380000,4,3,2,house,Uploaded Sydney housing sales dataset
2013-07-26,7996,Killara,2071,1160000,3,2,2,house,Uploaded Sydney housing sales dataset
2015-03-30,7422,Killara,2071,10000,4,3,2,house,Uploaded Sydney housing sales dataset
2017-03-30,7746,Killara,2071,3000000,5,2,2,house,Uploaded Sydney housing sales dataset
2009-09-14,7620,Killara,2071,885000,3,1,1,house,Uploaded Sydney housing sales dataset
2017-05-19,7244,Killara,2071,6460000,7,5,2,house,Uploaded Sydney housing sales dataset
2017-08-10,7230,Killara,2071,3500000,4,2,2,house,Uploaded Sydney housing sales dataset
2014-03-28,7927,Killara,2071,2400000,4,3,3,house,Uploaded Sydney housing sales dataset
2017-01-30,7264,Killara,2071,4650000,5,3,2,house,Uploaded Sydney housing sales dataset
2018-06-25,7700,Killara,2071,2950000,6,3,2,house,Uploaded Sydney housing sales dataset
2013-06-12,8012,Killara,2071,611000,2,1,1,house,Uploaded Sydney housing sales dataset
2012-11-09,8064,Killara,2071,1930000,5,5,4,house,Uploaded Sydney housing sales dataset
